id,label,type,description,citations,file_name,paper_stem,pages,relevance
Variable:yi,yi,Variable,Variable y_i representing the aspect ratio of the i-th granule.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,mitra.pdf,mitra,16,0.75
Dataset:sopat_images,SOPAT_images,Dataset,Images referred to as the source of x_i and y_i measurements for granules.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,mitra.pdf,mitra,16,0.7
Dataset:experiments_f1b2_to_f1b4,Experiments_F1B2_to_F1B4,Dataset,"A set of experiments listed as F1B2, F2B2, F3B2, F1B1, F1B3, and F1B4.",mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,mitra.pdf,mitra,16,0.4
Limitation:unverified_equation_candidate_notice,unverified_equation_candidate_notice,Limitation,A notice stating the extracted equation is unverified and should be reviewed before use as a paper fact.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,mitra.pdf,mitra,16,0.8
Document:mitra_p8_chunk_9082cc6cb7d7ca45,mitra_p8_chunk_9082cc6cb7d7ca45,Document,"PDF chunk describing SOPAT inline granule imaging probe illumination, imaging settings, and size/shape descriptor extraction.",mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,1.0
Instrument:sopat_inline_granule_imaging_probe,SOPAT_inline_granule_imaging_probe,Instrument,Inline granule imaging probe equipped with a microscopic optical system for imaging granules.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.95
Material:rhodium_reflector,rhodium_reflector,Material,Rhodium reflector positioned at a controllable distance from the lens to provide uniform illumination with strobe light.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.85
Instrument:integrated_strobe_light,integrated_strobe_light,Instrument,Integrated strobe light used with the reflector to provide uniform and controlled illumination.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.8
Concept:uniform_controlled_illumination,uniform_controlled_illumination,Concept,Uniform and controlled illumination for imaging granules.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.6
Variable:reflector_lens_distance,reflector_lens_distance,Variable,Distance between reflector and lens used to manage image quality and occlusion.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.8
Concept:image_quality,image_quality,Concept,Quality of SOPAT images as affected by reflector placement and focus.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.55
Limitation:occlusion_from_granules,occlusion_from_granules,Limitation,Occlusion from granules that can be reduced by increasing reflector–lens distance for certain material systems.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.55
Instrument:microscopic_optical_system,microscopic_optical_system,Instrument,Microscopic optical system providing a diagonal field of view enabling granule resolution in a defined size range.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.7
Variable:diagonal_field_of_view,diagonal_field_of_view,Variable,Diagonal field of view of 800 µm.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.6
Descriptor:granule_size_range_2_300_um,granule_size_range_2_300_um,Descriptor,Granules in the approximate size range of 2 µm to 300 µm that can be resolved by the probe.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.7
Instrument:sopat_camera,SOPAT_camera,Instrument,Camera recording monochrome 8-bit images at 2464×2056 pixels for granule analysis.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.9
Material:dried_agglomerated_granules,dried_agglomerated_granules,Material,Dried agglomerated granules primarily captured by the SOPAT camera.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.75
Material:primary_alumina_nanoparticles,primary_alumina_nanoparticles,Material,Individual primary alumina nanoparticles that fall below the resolution limit of the imaging system.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.7
Limitation:resolution_limit,resolution_limit,Limitation,Resolution limit preventing imaging of individual primary alumina nanoparticles.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.7
Dataset:imaging_parameters_table2,imaging_parameters_table2,Dataset,Table 2 listing imaging specifications for the SOPAT inline granule imaging probe.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.8
Descriptor:image_format_8bit_monochrome,image_format_8bit_monochrome,Descriptor,Monochromatic 8-bit image format.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.55
Variable:image_dimensions_2464x2056,image_dimensions_2464x2056,Variable,Recorded image resolution of 2464×2056 pixels.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.7
Variable:conversion_factor,conversion_factor,Variable,Calibrated spatial conversion factor used to convert pixel dimensions into physical measurements.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.8
Variable:frame_rate,frame_rate,Variable,Fixed frame rate of 20 Hz used for image acquisition.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.7
Concept:statistical_significance_granule_size_distribution,statistical_significance_granule_size_distribution,Concept,Statistical significance for granule size distribution at each time point ensured by sufficient images.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.6
Limitation:biased_statistical_evaluations,biased_statistical_evaluations,Limitation,Potential bias if the same granule is captured in consecutive frames.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.6
Variable:focus_position,focus_position,Variable,Optical focus position adjusted to optimize image clarity for granules in the focal plane.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.7
Variable:strobe_intensity,strobe_intensity,Variable,Strobe intensity setting used during image capture.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.45
Variable:exposure_time,exposure_time,Variable,Exposure time setting used during image capture.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.45
Dataset:sopat_image_series,SOPAT_image_series,Dataset,Image series collected from each experimental run and processed to extract granule size and shape descriptor distributions.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.85
Method:image_processing_method,image_processing_method,Method,Processing of image series to extract granule size and shape descriptor distributions.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.75
Method:two_dimensional_image_analysis,two_dimensional_image_analysis,Method,Two-dimensional (2D) image analysis of SOPAT images used to derive size and shape descriptors.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.8
Descriptor:maximum_feret_diameter,maximum_feret_diameter,Descriptor,Size/shape descriptor defined as the longest distance between two parallel lines tangential to the 2D silhouette of the granule.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf,mitra,8,0.85
Paper:regolith,Statistical Analysis and Modeling of the 3D Morphology and Texture of Lunar Regolith Simulants,Document,"The paper uses 3D X-ray micro-CT data and multivariate statistical/parametric modeling to quantify size and shape descriptor distributions for lunar regolith particles and seven mare/highlands simulants, finding large morphological differences among simulants and versus lunar regolith and motivating improved simulants or statistically representative digital models for simulation-based studies of morphology-driven mechanical behavior relevant to ISRU. (regolith.pdf p.1, p.2)",regolith.pdf,regolith.pdf,regolith,,1.0
Document:regolith_p7_chunk_3b9026e63363ad14,regolith_p7_chunk_3b9026e63363ad14,Document,"PDF page text chunk discussing R-vine copulas, dataset construction from segmented particles, and limitations of univariate analysis for regolith simulants.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,1.0
Dataset:segmented_particles_data,segmented_particles_data,Dataset,Data containing all segmented particles used to compute particle descriptors for subsequent analysis.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.85
Descriptor:particle_descriptors,particle_descriptors,Descriptor,Computed descriptors of particles used to construct the analysis dataset. | Descriptors of particle shape and texture used for analysis and modeling.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8 || regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,"10,7",0.75
Material:regolith_simulants,regolith_simulants,Material,"Regolith simulants whose similarities and differences are analyzed statistically. | Regolith simulants that may differ in fines content, composition, and descriptor distributions. | Regolith simulants developed and assessed as potential representatives of lunar regolith. | Seven different regolith simulants from which particle image data were considered. | Terrestrial substitute materials used in experiments to approximate lunar regolith. | Considered regolith simulants compared via descriptors of shape and texture. | Regolith simulants contrasted with lunar regolith, with large reported differences. | Regolith simulants whose exemplary particles were measured via X-ray tomography.",regolith.pdf p.10 page_text chunk_2ca960600a9df8b8 || regolith.pdf p.13 page_text chunk_384212dd00619739 || regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.2 page_text chunk_44889c813b9be835 || regolith.pdf p.3 page_text chunk_99780812c420d780 || regolith.pdf p.7 page_text chunk_3b9026e63363ad14 || regolith.pdf p.7 page_text chunk_5647a24ba128bfa1 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,"10,13,2,3,7",0.7
Method:statistical_analysis_similarities,statistical_analysis_similarities,Method,Statistical analysis of similarities and differences of regolith simulants based on the computed dataset.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.7
Concept:r_vine_copulas,r_vine_copulas,Concept,A copula-based approach for parametrically modeling multivariate distributions in arbitrary dimensions with flexible correlation structure.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.8
Method:pair_copula_approach,pair_copula_approach,Method,"The approach underlying R-vine copulas, outlined for the case d=3. | An approach that can be iteratively applied to represent multivariate densities using lower-dimensional components.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14 || regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,regolith.pdf,regolith,7,0.7
Variable:random_vector_x,random_vector_X,Variable,"Three-dimensional random vector X=(X1,X2,X3) with joint probability density and marginals. | Three-dimensional random vector X=(X1,X2,X3) for which a joint probability density f:R3→[0,∞) is computed.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.65
Variable:joint_density_f,joint_density_f,Variable,Joint probability density f of the random vector X on R^3.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.6
Variable:marginal_densities_f1_f2_f3,marginal_densities_f1_f2_f3,Variable,"Marginal densities f1,f2,f3 of X1,X2,X3 on R.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.55
Variable:cdfs_f1_f2_f3,cdfs_F1_F2_F3,Variable,"Univariate cumulative distribution functions F1,F2,F3 corresponding to X1,X2,X3.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.55
Variable:copula_densities_c12_c23,copula_densities_c12_c23,Variable,"Copula densities c1,2 and c2,3 corresponding to the distributions of (X1,X2) and (X2,X3).",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.55
Variable:conditional_copula_density_c13_given_x2,conditional_copula_density_c13_given_x2,Variable,"Copula density c1,3|X2=x2 corresponding to the conditional distribution of (X1,X3) given X2.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.55
Equation:equation_8,equation_8,Equation,"Factorization of f(x1,x2,x3) using conditional and pair copula densities and marginal densities. | Referenced equation giving a representation formula related to the pair-copula approach.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14 || regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,regolith.pdf,regolith,7,0.9
Method:univariate_data_analysis,univariate_data_analysis,Method,Univariate data analysis performed with stated limitations due to sample preparation and density weighting choices.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.6
Method:sample_preparation_sieving,sample_preparation_sieving,Method,Sample preparation procedure removing fines below 25μm and extremely large particles above 250μm by sieving.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.7
Variable:particle_size,particle_size,Variable,Particle size variable analyzed via histograms and constrained by sample preparation to a specified measured fraction. | Particle size noted as influencing mechanical properties of regolith materials. | Particle size measured/assessed for regolith simulant samples.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.2 page_text chunk_44889c813b9be835 || regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,"13,2,7",0.65
Limitation:measured_fraction_25_250,measured_fraction_25_250,Limitation,"Validity limitation stating analysis applies only to measured particle sizes between 25μm and 250μm, with possible small out-of-range presence.",regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.8
Limitation:sieving_inaccuracy,sieving_inaccuracy,Limitation,Unavoidable inaccuracy of the sieving process leading to some particles outside the intended size range.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.6
Finding:bulk_properties_change,bulk_properties_change,Finding,Removing fines and very large particles may change bulk properties compared to manufacturer specifications.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.6
Limitation:non_volume_weighted_densities,non_volume_weighted_densities,Limitation,Probability densities used are not volume-weighted and may not reflect the visual impression from an image figure.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.65
Instrument:laser_diffraction,laser_diffraction,Instrument,Laser diffraction instrument used to obtain particle size histograms.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.6
Dataset:particle_size_histograms,particle_size_histograms,Dataset,Histograms of particle sizes obtained by laser diffraction for comparison.,regolith.pdf p.7 page_text chunk_3b9026e63363ad14,regolith.pdf,regolith,7,0.55
Document:doc_p7_chunk73c87c,doc_p7_chunk73c87c,Document,"PDF chunk describing comparisons of particle-size histograms from laser diffraction and CT image data and copula-based conditional/joint distribution formulas for variables X1, X2, X3.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,1.0
Concept:particle_size_histograms_fig4,particle_size_histograms_fig4,Concept,"Histograms of particle sizes shown in Figure 4, including conditional distributions and CT-derived sizes.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.85
Method:laser_diffraction,laser_diffraction,Method,Particle-size measurement technique based on laser diffraction used to obtain conditional distributions/histograms. | Laser diffraction method used to determine particle size distribution after sieving.,regolith.pdf p.3 page_text chunk_99780812c420d780 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,"3,7",0.85
Method:ct_imaging,ct_imaging,Method,CT imaging technique whose image data are used to compute particle sizes for histograms. | Computed tomography imaging used to study regolith particle morphology and texture.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,"13,7",0.8
Dataset:laser_diffraction_data,laser_diffraction_data,Dataset,Particle-size data obtained by laser diffraction and used for conditional distributions/histograms.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.7
Dataset:ct_image_data,ct_image_data,Dataset,CT image data used to compute particle sizes for histogram comparison.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.7
Limitation:measurement_technique_diff_limitation,measurement_technique_diff_limitation,Limitation,Comparisons between laser diffraction results and CT image data are affected by differences between measurement techniques.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.9
Material:fines,fines,Material,Fine particles that may be present in laser diffraction data but not in CT-imaged samples.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.75
Limitation:sample_vs_bulk_limitation,sample_vs_bulk_limitation,Limitation,Measured samples can differ from the original bulk material in particle size distribution and in other hard-to-quantify ways.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.8
Descriptor:size_descriptors,size_descriptors,Descriptor,Descriptors related to particle size whose probability densities are visualized (Figure 5).,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.7
Descriptor:shape_descriptors,shape_descriptors,Descriptor,Descriptors related to particle shape whose probability densities are visualized (Figure 5).,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.7
Descriptor:textural_descriptors,textural_descriptors,Descriptor,Descriptors related to particle texture whose probability densities are shown (Figure 6).,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.7
Dataset:table3_mean_values,table3_mean_values,Dataset,Table 3 summary providing mean values of the probability densities for all descriptors and simulants.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.75
Application:applications_focus,applications_focus,Application,"Different applications manufacturers focus on when specifying regolith simulants, associated with different compositions.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.55
Variable:x1,X1,Variable,"A random variable component of X=(X1,X2,X3) used in conditional distribution formulas. | First component of the trivariate random vector X.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.8
Variable:x2,X2,Variable,"A random variable component of X=(X1,X2,X3) that is conditioned on in the conditional distributions. | Second component of the trivariate random vector X.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.85
Variable:x3,X3,Variable,"A random variable component of X=(X1,X2,X3) used in conditional distribution formulas. | Third component of the trivariate random vector X.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1 || regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.8
Variable:copula_density_c,copula_density_c,Variable,"Copula density c used to express conditional distributions via c(F1(x),F2(x2)) and c(F2(x2),F3(x)).",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.85
Variable:joint_density_f_r3,joint_density_f_R3,Variable,"Joint probability density f:R3→[0,∞) of X=(X1,X2,X3) mentioned as computed using a formula (Equation (8)).",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.75
Concept:assumption_c_independent_of_x2,assumption_c_independent_of_x2,Concept,Simplifying assumption that the copula density does not depend on the specific value of X2.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.8
Equation:eq_conditional_cdf_x1_given_x2,eq_conditional_cdf_X1_given_X2,Equation,"Formula expressing F_{1|X2=x2}(x1) using an integral of f_{1,2} or equivalently copula density c and f2.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.9
Equation:eq_conditional_cdf_x3_given_x2,eq_conditional_cdf_X3_given_X2,Equation,"Formula expressing F_{3|X2=x2}(x3) using an integral of f_{2,3} or equivalently copula density c and f3.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.9
Method:eq8_joint_density_approach,eq8_joint_density_approach,Method,"Approach (formula given in Equation (8)) for computing the joint probability density f of X=(X1,X2,X3).",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.7
Finding:finding_mean_values_differ,finding_mean_values_differ,Finding,"Mean values across simulants in Table 3 differ substantially, consistent with differing application focus and compositions.",regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.7
Person:erdogan_2007,erdogan_2007,Person,Cited author group associated with noting the issue when comparing laser diffraction results with CT image data.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.35
Person:haff_2010,haff_2010,Person,Cited author group associated with the simplifying assumption about copula density independence from X2.,regolith.pdf p.7 page_text chunk_73c87c0131a065ed,regolith.pdf,regolith,7,0.35
Document:doc_chunk,doc_chunk,Document,"PDF chunk discussing 3D morphology of lunar regolith, regolith simulants, and multivariate analysis of particle descriptors.",regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,1.0
Material:lunar_regolith,lunar_regolith,Material,Lunar regolith whose particle shapes and mechanical behavior under lunar conditions are discussed. | Lunar surface particulate material whose mechanical properties are important for future lunar missions. | Actual lunar regolith used for comparison with simulants. | Lunar regolith samples discussed as differing by landing site and measurement technique.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8 || regolith.pdf p.13 page_text chunk_384212dd00619739 || regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,"10,13,2",0.95
Variable:mech_properties,mech_properties,Variable,Mechanical properties considered for evaluating whether simulants represent lunar regolith.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.9
Variable:mineralogical_properties,mineralogical_properties,Variable,Mineralogical properties that influence mechanical properties of regolith.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.75
Variable:particle_shape,particle_shape,Variable,Particle shape noted as influencing mechanical properties and requiring thorough investigation. | Particle shape measured/assessed for regolith simulant samples.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf || regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,"13,2",0.9
Limitation:simulant_representativeness_unclear,simulant_representativeness_unclear,Limitation,Uncertainty about whether regolith simulants represent lunar regolith in mechanical properties.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.9
Limitation:predict_behavior_limitation,predict_behavior_limitation,Limitation,Regolith simulants may be insufficient to reliably predict actual regolith mechanical behavior under lunar conditions.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.9
Limitation:limited_shape_analysis_past,limited_shape_analysis_past,Limitation,Past analyses of lunar regolith particle shapes were limited to single or few particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.75
Method:stochastic_3d_modeling,stochastic_3d_modeling,Method,Stochastic 3D modeling used to obtain a digital twin of lunar regolith particle morphology and composition.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.9
Method:stochastic_3d_model,stochastic_3d_model,Method,Stochastic 3D model used to generate virtual but realistic regolith particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.85
Concept:digital_twin,digital_twin,Concept,A digital twin of 3D morphology and mineralogical composition of lunar regolith particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.85
Method:numerical_simulations,numerical_simulations,Method,Numerical simulations proposed to bridge the gap by operating on a digital twin of regolith morphology and composition.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.8
Application:virtual_materials_testing,virtual_materials_testing,Application,Virtual materials testing enabled by generating realistic virtual regolith particles from stochastic 3D models.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.7
Method:precise_shape_matching,precise_shape_matching,Method,Matching the precise shapes of individual particles as a modeling approach.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.55
Limitation:overfitting_limitation,overfitting_limitation,Limitation,Overfitting risk associated with matching precise shapes of individual particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.6
Descriptor:morph_descriptors,morph_descriptors,Descriptor,Morphological particle descriptors used as univariate or multivariate distributions to assess stochastic model performance.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.85
Concept:univariate_distributions,univariate_distributions,Concept,Univariate distributions of individual morphological particle descriptors used for model performance assessment.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.7
Concept:multivariate_distributions,multivariate_distributions,Concept,"Multivariate distributions used to assess performance of a stochastic 3D model for particle sizes, shapes and composition.",regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.8
Method:distribution_fitting,distribution_fitting,Method,Fitting univariate or multivariate distributions of morphological descriptors to assess stochastic model performance.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.8
Variable:model_performance,model_performance,Variable,Performance of a stochastic 3D model as assessed by fitting distributions of particle descriptors.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.65
Method:multivariate_stat_analysis,multivariate_stat_analysis,Method,Multivariate statistical analysis used to understand similarities and differences of regolith simulant particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.85
Method:parametric_models,parametric_models,Method,Parametric models used for multivariate non-Gaussian probability distributions of descriptor vectors.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.8
Concept:non_gaussian_multivar_dists,non_gaussian_multivar_dists,Concept,Multivariate non-Gaussian probability distributions modeled for descriptor vectors.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.75
Variable:descriptor_vectors,descriptor_vectors,Variable,Descriptor vectors whose multivariate non-Gaussian probability distributions are modeled.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.7
Dataset:micro_ct_data,micro_ct_data,Dataset,3D X-ray micro-CT data used for analysis of different regolith simulants and comparison to lunar regolith samples.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.85
Instrument:xray_micro_ct,xray_micro_ct,Instrument,3D X-ray micro-CT used to produce the data analyzed.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.75
Concept:mare_regolith,mare_regolith,Concept,Mare regolith represented by some of the regolith simulants.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.6
Concept:highlands_regolith,highlands_regolith,Concept,Highlands regolith represented by some of the regolith simulants.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.6
Dataset:three_lunar_samples,three_lunar_samples,Dataset,Three different samples of lunar regolith used for comparison to simulants.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.7
Finding:shape_investigation_necessity,shape_investigation_necessity,Finding,"A thorough investigation of lunar regolith particle shapes is necessary, as highlighted by comparisons.",regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.75
Finding:similarities_differences_understanding,similarities_differences_understanding,Finding,Multivariate analysis and parametric modeling are used to better understand similarities and differences of simulant particles.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.65
Variable:mineralogical_composition,mineralogical_composition,Variable,Mineralogical composition of lunar regolith particles included in the proposed digital twin.,regolith.pdf p.2 page_text chunk_44889c813b9be835,regolith.pdf,regolith,2,0.65
Document:doc_regolith_p7_chunk5647,doc_regolith_p7_chunk5647,Document,"PDF chunk discussing trivariate copula modeling, multivariate data analysis, and correlations among regolith particle descriptors.",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,regolith.pdf,regolith,7,0.95
Variable:x_trivariate,X_trivariate,Variable,"A three-dimensional random vector denoted as X=(X1,X2,X3).",regolith.pdf p.7 page_text chunk_5647a24ba128bfa1,regolith.pdf,regolith,7,0.85
