id,label,type,description,citations,pages,file_name,relevance,paper_stem
Concept:morphology,Morphology,Concept,Particle morphology (including size and shape) considered in comparisons of simulants.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.8,regolith
Concept:texture,Texture,Concept,Particle texture characterized in part by gray values and compared across simulants.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.8,regolith
Variable:gray_values,Gray_values,Variable,Particle-wise gray values used as a measure of texture differences among simulants.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.75,regolith
Method:univariate_analysis,Univariate_analysis,Method,A univariate analysis indicating significant morphology and texture differences among simulants.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.7,regolith
Finding:finding_simulants_differ,Finding_simulants_differ,Finding,Simulants intended to replicate the same lunar regolith type differ significantly in morphology and texture. | The analysis showed significant differences between the considered regolith simulants with respect to descriptors of shape and texture.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8 || regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,"10,13",regolith.pdf,0.9,regolith
Limitation:limitation_comparability_unclear,Limitation_comparability_unclear,Limitation,It is unclear how comparable the mechanical properties of the considered simulants are to lunar regolith.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.85,regolith
Finding:finding_texture_shape_differences,Finding_texture_shape_differences,Finding,Significant differences were found in particle-wise texture (gray values) and for some simulants also particle shape.,regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.85,regolith
Concept:concept_descriptor_behavior_correlation,Concept_descriptor_behavior_correlation,Concept,"Particle morphological/textural descriptors correlate with behavior in mechanical processing for other particulate materials, suggesting similar correlations for simulants.",regolith.pdf p.13 page_text chunk_e99dbc4d11e11bdf,13,regolith.pdf,0.75,regolith
Chunk:chunk_2ca960600a9df8b8,chunk_2ca960600a9df8b8,Chunk,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,1.0,regolith
Document:doc_regolith_p10_c2ca,doc_regolith_p10_c2ca,Document,PDF chunk from Microscopy and Microanalysis (2026) describing correlation and copula-based modeling of particle descriptors and comparison to lunar regolith data.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,1.0,regolith
Material:csm-lht-1,CSM-LHT-1,Material,A regolith simulant whose particle descriptors are analyzed.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.9,regolith
Variable:rs,rs,Variable,Spearman’s rank correlation coefficient for pairs of particle descriptors.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.85,regolith
Equation:eq_rs_range,eq_rs_range,Equation,Range constraint for Spearman’s rank correlation coefficient.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.6,regolith
Variable:sphericity_s,sphericity_S,Variable,Sphericity descriptor denoted by S.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.8,regolith
Variable:mean_gray_mugt,mean_gray_muGt,Variable,Mean gray value descriptor denoted by μ(Gt).,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.75,regolith
Variable:volume_v,volume_V,Variable,Particle volume descriptor denoted by V (in μm^3).,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.8,regolith
Variable:n_particles,n_particles,Variable,Number of particles denoted by n used for histogram/correlation calculations.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.55,regolith
Method:joint_histograms_s_mugt,joint_histograms_S_muGt,Method,Histograms of the joint distribution of sphericity S and mean gray value μ(Gt).,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.7,regolith
Equation:eq_v_lt_2600,eq_V_lt_2600,Equation,Subset condition selecting particles with volume V < 2600 μm^3.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.65,regolith
Finding:finding_rs_035_subset,finding_rs_035_subset,Finding,"For particles with V<2600 μm^3 (n=2762), the Spearman correlation is rs=0.35.",regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.8,regolith
Finding:finding_rs_007_all,finding_rs_007_all,Finding,"For all particles (n=24734), the Spearman correlation is rs=0.07.",regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.8,regolith
Method:copula_based_model,copula_based_model,Method,"Copula-based model fitted to the joint distribution of descriptors (V, S, μ(Gt)).",regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.9,regolith
Concept:copulas,copulas,Concept,Copulas used within the copula-based model.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.7,regolith
Concept:fitted_distribution_v_s_mugt,fitted_distribution_V_S_muGt,Concept,"Fitted distribution of descriptors (V, S, μ(Gt)) from which realizations are drawn.",regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.75,regolith
Method:validation_histogram_comparison,validation_histogram_comparison,Method,Validation procedure that draws realizations and visually compares bivariate histograms to measured histograms from CT images.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.85,regolith
Dataset:realizations_10000,realizations_10000,Dataset,"A set of 10,000 realizations drawn from the fitted distribution for validation.",regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.7,regolith
Dataset:ct_images,CT_images,Dataset,CT images used to compute measured descriptor values and histograms.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.7,regolith
Dataset:bivariate_histograms,bivariate_histograms,Dataset,"Bivariate histograms of measured data and model realizations for descriptor pairs including (V,S) and (S,μ(Gt)).",regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.75,regolith
Method:comparison_to_lunar_regolith,comparison_to_lunar_regolith,Method,Methodological comparison between regolith simulants and actual lunar regolith using published 3D data.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.7,regolith
Dataset:dataset_lunar_regolith_3d,dataset_lunar_regolith_3D,Dataset,Recently published 3D data of lunar regolith from Apollo samples and the Chang’e-5 mission.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.75,regolith
Dataset:apollo_samples_10084_14163,apollo_samples_10084_14163,Dataset,3D lunar regolith data from Apollo samples 10084 and 14163.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.65,regolith
Dataset:change5_mission_data,change5_mission_data,Dataset,3D lunar regolith data from the Chang’e-5 mission.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.65,regolith
Equation:eq_v_gt_15000,eq_V_gt_15000,Equation,Filter condition selecting particles with volume larger than 15000 μm^3.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.75,regolith
Limitation:segmentation_artifacts,segmentation_artifacts,Limitation,Artifacts from segmentation that motivate excluding smaller particles in the lunar-regolith comparison.,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.7,regolith
Person:person_chiaramonti,person_chiaramonti,Person,Author referenced for published 3D lunar regolith data (2024).,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.25,regolith
Person:person_garboczi,person_garboczi,Person,Author referenced for published 3D lunar regolith data (2024).,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.25,regolith
Person:person_wu,person_wu,Person,Author referenced for published Chang’e-5 lunar regolith 3D data and segmentation artifact note (2025).,regolith.pdf p.10 page_text chunk_2ca960600a9df8b8,10,regolith.pdf,0.25,regolith
Chunk:chunk_384212dd00619739,chunk_384212dd00619739,Chunk,regolith.pdf p.13 page_text chunk_384212dd00619739,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,1.0,regolith
Document:regolith_p13_chunk,regolith_p13_chunk,Document,A page-text chunk discussing multivariate analysis and parametric modeling results for regolith particles and implications for comparing lunar regolith and simulants.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,1.0,regolith
Person:matthias_weber,Matthias_Weber,Person,An author listed for the document chunk. | Author name appearing in the chunk header.,regolith.pdf p.13 page_text chunk_384212dd00619739 || regolith.pdf p.3 page_text chunk_99780812c420d780,"13,3",regolith.pdf,0.2,regolith
Method:parametric_modeling,parametric_modeling,Method,A parametric modeling approach used as a framework to quantify and compare particle morphology and texture.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.9,regolith
Material:csm-lht-1_particles,CSM-LHT-1_particles,Material,Particles from the CSM-LHT-1 sample analyzed in the multivariate analysis and parametric modeling.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.9,regolith
Dataset:apollo_sample_10084,Apollo_sample_10084,Dataset,An Apollo mare landing site sample referenced in comparisons of lunar regolith distributions.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.5,regolith
Organization:chang_e_mission,Chang_e_mission,Organization,A mission referenced as a source of mare landing site lunar regolith comparison data.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.4,regolith
Concept:landing_sites,landing_sites,Concept,Different lunar landing sites whose regolith distributions are stated to differ.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.6,regolith
Application:digital_twin_regolith,digital_twin_regolith,Application,A proposed digital twin for regolith from different landing sites.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.7,regolith
Variable:particle_volume,particle_volume,Variable,A size-related particle descriptor discussed as strongly correlated with surface area and gray-value variation.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.8,regolith
Variable:surface_area,surface_area,Variable,A size-related particle descriptor discussed as strongly correlated with particle volume.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.8,regolith
Descriptor:sphericity,sphericity,Descriptor,A particle shape descriptor stated to be negatively correlated with particle volume and surface area.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.7,regolith
Descriptor:aspect_ratio,aspect_ratio,Descriptor,A particle shape descriptor stated to show no clear correlation with size-related descriptors.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.7,regolith
Descriptor:gray_value_cv,gray_value_CV,Descriptor,"Coefficients of variation of particle-wise gray values, used as a texture-related descriptor correlated with particle size.",regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.8,regolith
Concept:size_related_descriptors,size_related_descriptors,Concept,"Descriptors related to particle size, explicitly including volumes and surface areas.",regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.6,regolith
Application:morphology_texture_comparison,morphology_texture_comparison,Application,Quantitative comparison of morphology and texture of different regolith samples using parametric modeling outputs.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.7,regolith
Concept:descriptor_vectors,descriptor_vectors,Concept,Vectors of interpretable parameters describing particle morphology/texture used to characterize a multivariate distribution.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.6,regolith
Concept:multivariate_probability_distribution,multivariate_probability_distribution,Concept,The multivariate probability distribution of descriptor vectors that the modeling aims to characterize.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.5,regolith
Finding:finding_vol_sa_strong_corr,finding_vol_sa_strong_corr,Finding,Particle volume and surface area are strongly correlated.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.9,regolith
Finding:finding_vol_sa_neg_with_sphericity,finding_vol_sa_neg_with_sphericity,Finding,Particle volume and surface area are both negatively correlated with sphericity.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.9,regolith
Finding:finding_aspect_ratio_no_corr_size,finding_aspect_ratio_no_corr_size,Finding,"Aspect ratio exhibits no clear correlation with size-related descriptors, implying elongated particles occur across all sizes.",regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.8,regolith
Finding:finding_gray_cv_pos_corr_size,finding_gray_CV_pos_corr_size,Finding,Coefficients of variation of particle-wise gray values are strongly positively correlated to particle sizes (volumes and surface areas).,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.9,regolith
Finding:finding_larger_particles_mixture,finding_larger_particles_mixture,Finding,Larger particles may be more likely to be composed of a mixture of different materials.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.7,regolith
Limitation:limitation_measurement_techniques,limitation_measurement_techniques,Limitation,"Differences between lunar regolith samples may reflect different measurement/analysis techniques, making it unclear how much corresponds to actual material differences.",regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.8,regolith
Limitation:limitation_beyond_scope,limitation_beyond_scope,Limitation,Further analysis of the observed size-texture behavior is stated to be beyond the scope of the paper.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.5,regolith
Finding:finding_need_further_investigations,finding_need_further_investigations,Finding,Uncertainties and large differences between simulants and lunar regolith corroborate the need for further investigations of actual lunar regolith and development of a digital twin.,regolith.pdf p.13 page_text chunk_384212dd00619739,13,regolith.pdf,0.8,regolith
Chunk:chunk_99780812c420d780,chunk_99780812c420d780,Chunk,regolith.pdf p.3 page_text chunk_99780812c420d780,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,1.0,regolith
Document:regolith_pdf_p3_chunk,regolith_pdf_p3_chunk,Document,"PDF text chunk describing sample preparation, X-ray CT imaging, and reconstruction considerations.",regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.86,regolith
Method:xray_ct,Xray_CT,Method,X-ray computed tomography used for imaging particles and generating 3D tomograms from projections.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.95,regolith
Method:xray_tomography,Xray_tomography,Method,X-ray tomography measurements used to visualize exemplary particles of regolith simulants.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.75,regolith
Method:sieving,sieving,Method,Sample preparation step to select a particle size fraction prior to analysis.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.8,regolith
Method:wet_sieving,wet_sieving,Method,Wet sieving step used to remove fines below a specified particle size before CT measurements.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.78,regolith
Instrument:mastersizer_3000,Mastersizer_3000,Instrument,Malvern Mastersizer 3000 instrument used for laser diffraction particle size measurement.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.7,regolith
Dataset:table_2_psd,Table_2_PSD,Dataset,Table 2 reporting particle size distribution after sieving determined with laser diffraction.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.62,regolith
Variable:particle_size_distribution,particle_size_distribution,Variable,Particle size distribution determined after sieving.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.7,regolith
Descriptor:fraction_lt_250um,fraction_lt_250um,Descriptor,Particle size fraction smaller than 250 µm selected by sieving in a first step.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.66,regolith
Descriptor:fines_lt_25um,fines_lt_25um,Descriptor,Fines below 25 µm that were removed by wet sieving for CT measurements.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.66,regolith
Descriptor:fraction_25_250um,fraction_25_250um,Descriptor,Middle size interval from 25 µm to 250 µm used as a trade-off for practical imaging constraints.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.74,regolith
Limitation:imaging_constraints_min_voxels,imaging_constraints_min_voxels,Limitation,Practical imaging constraints such as the minimum number of voxels needed to describe particle shape.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.55,regolith
Limitation:size_selection_bias,size_selection_bias,Limitation,Potential bias introduced by selecting only a middle particle size fraction for analysis.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.8,regolith
Limitation:generalization_caution,generalization_caution,Limitation,Caution that results represent only part of the particle size distribution and may not generalize.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.77,regolith
Concept:xray_generation,Xray_generation,Concept,X-rays generated by electrons traveling from cathode to a target anode.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.72,regolith
Instrument:target_anode,target_anode,Instrument,Target anode struck by electrons to generate X-rays.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.56,regolith
Material:tungsten,tungsten,Material,Example target anode material mentioned for X-ray generation.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.4,regolith
Concept:xray_interaction_bulb,Xray_interaction_bulb,Concept,Bulb-shaped interaction volume created within the target during X-ray generation.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.62,regolith
Concept:characteristic_xrays,characteristic_Xrays,Concept,"Characteristic X-rays determined by the target material, primarily useful for chemical analysis.",regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.6,regolith
Concept:bremsstrahlung,bremsstrahlung,Concept,Bremsstrahlung X-rays forming a continuous spectrum used for measurements.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.72,regolith
Variable:filtering,filtering,Variable,Filtering that influences the continuous bremsstrahlung spectrum.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.45,regolith
Variable:electron_acceleration_voltage,electron_acceleration_voltage,Variable,Electron acceleration voltage that influences the bremsstrahlung spectrum.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.52,regolith
Variable:integral_spectrum,integral_spectrum,Variable,Integral X-ray spectrum used for the measurements.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.46,regolith
Variable:interaction_bulb_stability,interaction_bulb_stability,Variable,Stability of the X-ray interaction bulb important for imaging quality.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.55,regolith
Finding:sharp_reproducible_imaging,sharp_reproducible_imaging,Finding,Sharp and reproducible imaging depends critically on interaction bulb stability.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.62,regolith
Concept:conical_xray_beam,conical_Xray_beam,Concept,Conical X-ray beam that passes through the sample and projects onto a detector.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.55,regolith
Instrument:flat_panel_detector,flat_panel_detector,Instrument,2D flat panel detector onto which the sample projection is recorded.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.62,regolith
Method:sample_rotation,sample_rotation,Method,CT acquisition approach where the sample rotates while the detector remains fixed.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.58,regolith
Dataset:projection_images_2d,projection_images_2D,Dataset,Series of 2D projection images produced at each rotational step.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.6,regolith
Dataset:tomogram_3d,tomogram_3D,Dataset,3D tomogram produced from 2D projection images via reconstruction algorithms.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.62,regolith
Method:fbp,FBP,Method,Filtered back projection reconstruction algorithm used to process projection images into a 3D tomogram.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.7,regolith
Application:chemical_analysis,chemical_analysis,Application,Chemical analysis application for which characteristic X-rays are primarily useful.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.36,regolith
Finding:mineralogical_composition_known,mineralogical_composition_known,Finding,The mineralogical composition of the target material is stated as known in this context.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.34,regolith
Method:correlative_measurements_future,correlative_measurements_future,Method,Planned correlative measurements intended to evaluate excluded particle size fractions.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.52,regolith
Concept:excluded_fractions,excluded_fractions,Concept,"Particle size fractions excluded by sieving steps (e.g., below 25 µm and above 250 µm).",regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.42,regolith
Document:buzug_2008,Buzug_2008,Document,A referenced source for more details on reconstruction algorithms such as filtered back projection.,regolith.pdf p.3 page_text chunk_99780812c420d780,3,regolith.pdf,0.28,regolith
