id,label,type,description,citations,pages,file_name,relevance,paper_stem
Document:mitra.pdf_p16_chunk_1c86e251de2cb8bc,mitra.pdf_p16_chunk_1c86e251de2cb8bc,Document,A PDF page chunk describing use of empirical Pearson correlation coefficients (EPCC) to examine correlation between granule descriptors.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.9,mitra
Method:epcc,EPCC,Method,Empirical Pearson correlation coefficients used to quantify linear correlation between two variables.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.9,mitra
Equation:eq9_epcc_definition,Eq9_EPCC_definition,Equation,"Equation (9) giving the empirical Pearson correlation coefficients EPCC(x,y).",mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.9,mitra
Concept:linear_correlation,linear_correlation,Concept,Linear correlation examined between two granule descriptors.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.7,mitra
Descriptor:dfmax_descriptor,dFmax_descriptor,Descriptor,Granule descriptor d_F_max referred to as the maximum Feret diameter.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.85,mitra
Descriptor:psia_descriptor,PsiA_descriptor,Descriptor,Granule descriptor Ψ_A referred to as the aspect ratio.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.85,mitra
Variable:xi,xi,Variable,Variable x_i representing the maximum Feret diameter of the i-th granule.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.75,mitra
Variable:yi,yi,Variable,Variable y_i representing the aspect ratio of the i-th granule.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.75,mitra
Dataset:sopat_images,SOPAT_images,Dataset,Images referred to as the source of x_i and y_i measurements for granules.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.7,mitra
Dataset:experiments_f1b2_to_f1b4,Experiments_F1B2_to_F1B4,Dataset,"A set of experiments listed as F1B2, F2B2, F3B2, F1B1, F1B3, and F1B4.",mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.4,mitra
Limitation:unverified_equation_candidate_notice,unverified_equation_candidate_notice,Limitation,A notice stating the extracted equation is unverified and should be reviewed before use as a paper fact.,mitra.pdf p.16 equation_candidate chunk_1c86e251de2cb8bc,16,mitra.pdf,0.8,mitra
Chunk:chunk_9082cc6cb7d7ca45,chunk_9082cc6cb7d7ca45,Chunk,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,1.0,mitra
Document:mitra_p8_chunk_9082cc6cb7d7ca45,mitra_p8_chunk_9082cc6cb7d7ca45,Document,"PDF chunk describing SOPAT inline granule imaging probe illumination, imaging settings, and size/shape descriptor extraction.",mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,1.0,mitra
Instrument:sopat_inline_granule_imaging_probe,SOPAT_inline_granule_imaging_probe,Instrument,Inline granule imaging probe equipped with a microscopic optical system for imaging granules.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.95,mitra
Material:rhodium_reflector,rhodium_reflector,Material,Rhodium reflector positioned at a controllable distance from the lens to provide uniform illumination with strobe light.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.85,mitra
Instrument:integrated_strobe_light,integrated_strobe_light,Instrument,Integrated strobe light used with the reflector to provide uniform and controlled illumination.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.8,mitra
Concept:uniform_controlled_illumination,uniform_controlled_illumination,Concept,Uniform and controlled illumination for imaging granules.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.6,mitra
Variable:reflector_lens_distance,reflector_lens_distance,Variable,Distance between reflector and lens used to manage image quality and occlusion.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.8,mitra
Concept:image_quality,image_quality,Concept,Quality of SOPAT images as affected by reflector placement and focus.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.55,mitra
Limitation:occlusion_from_granules,occlusion_from_granules,Limitation,Occlusion from granules that can be reduced by increasing reflector–lens distance for certain material systems.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.55,mitra
Instrument:microscopic_optical_system,microscopic_optical_system,Instrument,Microscopic optical system providing a diagonal field of view enabling granule resolution in a defined size range.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.7,mitra
Variable:diagonal_field_of_view,diagonal_field_of_view,Variable,Diagonal field of view of 800 µm.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.6,mitra
Descriptor:granule_size_range_2_300_um,granule_size_range_2_300_um,Descriptor,Granules in the approximate size range of 2 µm to 300 µm that can be resolved by the probe.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.7,mitra
Instrument:sopat_camera,SOPAT_camera,Instrument,Camera recording monochrome 8-bit images at 2464×2056 pixels for granule analysis.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.9,mitra
Material:dried_agglomerated_granules,dried_agglomerated_granules,Material,Dried agglomerated granules primarily captured by the SOPAT camera.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.75,mitra
Material:primary_alumina_nanoparticles,primary_alumina_nanoparticles,Material,Individual primary alumina nanoparticles that fall below the resolution limit of the imaging system.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.7,mitra
Limitation:resolution_limit,resolution_limit,Limitation,Resolution limit preventing imaging of individual primary alumina nanoparticles.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.7,mitra
Dataset:imaging_parameters_table2,imaging_parameters_table2,Dataset,Table 2 listing imaging specifications for the SOPAT inline granule imaging probe.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.8,mitra
Descriptor:image_format_8bit_monochrome,image_format_8bit_monochrome,Descriptor,Monochromatic 8-bit image format.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.55,mitra
Variable:image_dimensions_2464x2056,image_dimensions_2464x2056,Variable,Recorded image resolution of 2464×2056 pixels.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.7,mitra
Variable:conversion_factor,conversion_factor,Variable,Calibrated spatial conversion factor used to convert pixel dimensions into physical measurements.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.8,mitra
Variable:frame_rate,frame_rate,Variable,Fixed frame rate of 20 Hz used for image acquisition.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.7,mitra
Concept:statistical_significance_granule_size_distribution,statistical_significance_granule_size_distribution,Concept,Statistical significance for granule size distribution at each time point ensured by sufficient images.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.6,mitra
Limitation:biased_statistical_evaluations,biased_statistical_evaluations,Limitation,Potential bias if the same granule is captured in consecutive frames.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.6,mitra
Variable:focus_position,focus_position,Variable,Optical focus position adjusted to optimize image clarity for granules in the focal plane.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.7,mitra
Variable:strobe_intensity,strobe_intensity,Variable,Strobe intensity setting used during image capture.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.45,mitra
Variable:exposure_time,exposure_time,Variable,Exposure time setting used during image capture.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.45,mitra
Dataset:sopat_image_series,SOPAT_image_series,Dataset,Image series collected from each experimental run and processed to extract granule size and shape descriptor distributions.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.85,mitra
Method:image_processing_method,image_processing_method,Method,Processing of image series to extract granule size and shape descriptor distributions.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.75,mitra
Method:two_dimensional_image_analysis,two_dimensional_image_analysis,Method,Two-dimensional (2D) image analysis of SOPAT images used to derive size and shape descriptors.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.8,mitra
Descriptor:maximum_feret_diameter,maximum_feret_diameter,Descriptor,Size/shape descriptor defined as the longest distance between two parallel lines tangential to the 2D silhouette of the granule.,mitra.pdf p.8 page_text chunk_9082cc6cb7d7ca45,8,mitra.pdf,0.85,mitra
